"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm2",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 21:10:32 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 21:10:32,0.016,0.013,99.872,0.099,0.0,0.000,7393.950,216949.849,0.0,0.0,0.0,0.0,11.305,14.559
18-09 21:10:33,2.012,0.402,96.982,0.604,0.0,0.0,1810432.0,0.0,211.0,841.0,0.0,0.0,999.0,2237.0
18-09 21:10:34,1.414,0.202,98.182,0.202,0.0,0.0,233472.0,0.0,105.0,317.0,0.0,0.0,1020.0,2162.0
18-09 21:10:35,6.917,3.755,83.399,5.731,0.0,0.198,1785856.0,827392.0,5372.0,4790.0,0.0,0.0,1857.0,3515.0
18-09 21:10:36,2.887,0.206,90.928,5.773,0.0,0.206,6270976.0,0.0,539.0,691.0,0.0,0.0,1286.0,2233.0
18-09 21:10:37,2.400,0.400,97.200,0.0,0.0,0.0,24576.0,0.0,105.0,317.0,0.0,0.0,1064.0,2173.0
18-09 21:10:38,2.605,0.601,96.794,0.0,0.0,0.0,757760.0,0.0,105.0,317.0,0.0,0.0,1088.0,2233.0
18-09 21:10:39,2.209,0.602,97.189,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1110.0,2210.0
18-09 21:10:40,2.424,0.404,97.172,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1143.0,2278.0
18-09 21:10:41,1.807,0.602,97.189,0.402,0.0,0.0,1019904.0,45056.0,105.0,317.0,0.0,0.0,1076.0,2267.0
18-09 21:10:42,3.414,0.602,94.980,1.004,0.0,0.0,483328.0,0.0,211.0,841.0,0.0,0.0,1159.0,2412.0
18-09 21:10:43,1.811,0.402,97.586,0.201,0.0,0.0,1060864.0,0.0,105.0,317.0,0.0,0.0,1113.0,2299.0
18-09 21:10:44,1.406,0.402,97.189,1.004,0.0,0.0,143360.0,0.0,105.0,317.0,0.0,0.0,1103.0,2258.0
18-09 21:10:45,1.411,0.403,98.185,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1070.0,2315.0
18-09 21:10:46,1.606,0.803,97.189,0.402,0.0,0.0,0.0,81920.0,105.0,317.0,0.0,0.0,1091.0,2339.0
18-09 21:10:47,1.414,0.202,98.384,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1094.0,2346.0
18-09 21:10:48,1.242,1.035,97.723,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1087.0,2369.0
18-09 21:10:49,1.215,0.405,98.381,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1035.0,2256.0
18-09 21:10:50,2.595,0.399,97.006,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1098.0,2440.0
18-09 21:10:51,1.815,0.605,97.581,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1121.0,2378.0
18-09 21:10:52,2.004,0.401,97.194,0.401,0.0,0.0,0.0,16384.0,105.0,317.0,0.0,0.0,1095.0,2274.0
18-09 21:10:53,1.217,0.203,98.580,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1068.0,2303.0
18-09 21:10:54,1.215,0.405,98.381,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1052.0,2281.0
18-09 21:10:55,1.610,0.402,97.988,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1068.0,2329.0
18-09 21:10:56,1.804,0.601,97.595,0.0,0.0,0.0,0.0,0.0,147.0,317.0,0.0,0.0,1056.0,2329.0
18-09 21:10:57,1.414,0.202,98.384,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1034.0,2331.0
18-09 21:10:58,1.616,0.202,97.980,0.202,0.0,0.0,0.0,16384.0,105.0,317.0,0.0,0.0,1054.0,2400.0
18-09 21:10:59,1.215,0.405,98.381,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1018.0,2358.0
18-09 21:11:00,1.610,0.402,97.988,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1038.0,2421.0
18-09 21:11:01,1.811,0.201,97.988,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1025.0,2413.0
18-09 21:11:02,0.825,0.412,98.557,0.206,0.0,0.0,139264.0,0.0,105.0,317.0,0.0,0.0,987.0,2335.0
18-09 21:11:03,1.006,0.604,98.390,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,994.0,2317.0
18-09 21:11:04,1.406,0.803,97.390,0.201,0.0,0.201,0.0,16384.0,105.0,317.0,0.0,0.0,1064.0,2381.0
18-09 21:11:05,1.807,0.803,97.390,0.0,0.0,0.0,0.0,40960.0,105.0,317.0,0.0,0.0,1078.0,2337.0
18-09 21:11:06,2.200,0.800,97.0,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1168.0,2504.0
18-09 21:11:07,1.606,0.602,97.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.0,2439.0
18-09 21:11:08,1.600,1.0,97.400,0.0,0.0,0.0,0.0,0.0,105.0,317.0,0.0,0.0,1113.0,2400.0
18-09 21:11:09,1.406,0.602,97.992,0.0,0.0,0.0,0.0,0.0,211.0,841.0,0.0,0.0,1086.0,2420.0
18-09 21:11:10,1.406,0.602,96.386,1.606,0.0,0.0,0.0,126976.0,105.0,317.0,0.0,0.0,1073.0,2429.0
18-09 21:11:11,13.306,4.032,79.435,3.226,0.0,0.0,1581056.0,0.0,1080630.0,1042819.0,0.0,0.0,1733.0,2950.0
18-09 21:11:12,3.226,0.403,95.565,0.806,0.0,0.0,147456.0,0.0,14012.0,1118.0,0.0,0.0,1190.0,2541.0
18-09 21:11:13,2.213,0.402,96.982,0.402,0.0,0.0,94208.0,0.0,366.0,1419.0,0.0,0.0,1180.0,2601.0
18-09 21:11:14,7.646,2.817,84.507,3.622,0.0,1.408,1093632.0,65536.0,21851895.0,20952033.0,0.0,0.0,5582.0,3512.0
18-09 21:11:15,24.800,1.600,67.0,6.600,0.0,0.0,5627904.0,0.0,2841.0,1169.0,0.0,0.0,2298.0,3976.0
18-09 21:11:16,12.450,1.406,78.313,7.831,0.0,0.0,2859008.0,73728.0,1495.0,2386.0,0.0,0.0,1815.0,3021.0
18-09 21:11:17,14.113,3.629,75.403,6.653,0.0,0.202,2813952.0,0.0,6609.0,3194.0,0.0,0.0,2722.0,4920.0
18-09 21:11:18,11.268,3.622,75.654,9.457,0.0,0.0,3518464.0,0.0,215174.0,6966.0,0.0,0.0,2766.0,4535.0
18-09 21:11:19,5.870,1.417,78.340,14.372,0.0,0.0,3604480.0,0.0,105.0,354.0,0.0,0.0,1443.0,2828.0
18-09 21:11:20,19.400,3.200,69.800,7.600,0.0,0.0,4407296.0,0.0,105.0,354.0,0.0,0.0,1621.0,2507.0
18-09 21:11:21,27.689,2.390,63.147,6.773,0.0,0.0,2060288.0,217088.0,211.0,878.0,0.0,0.0,1701.0,2803.0
18-09 21:11:22,32.394,3.018,60.161,4.427,0.0,0.0,1835008.0,0.0,330.0,486.0,0.0,0.0,1690.0,2664.0
18-09 21:11:23,22.044,1.603,73.948,2.405,0.0,0.0,4071424.0,0.0,1659.0,2685.0,0.0,0.0,1746.0,3052.0
18-09 21:11:24,18.511,1.811,74.447,5.231,0.0,0.0,2781184.0,0.0,2192.0,2622.0,0.0,0.0,1613.0,2985.0
18-09 21:11:25,26.210,1.411,67.339,5.040,0.0,0.0,3129344.0,0.0,237.0,423.0,0.0,0.0,1707.0,2944.0
18-09 21:11:26,31.062,2.806,61.122,5.010,0.0,0.0,1642496.0,86016.0,1323.0,2513.0,0.0,0.0,3070.0,4426.0
18-09 21:11:27,14.889,1.006,80.684,3.421,0.0,0.0,1224704.0,0.0,3592.0,7303.0,0.0,0.0,1596.0,3277.0
18-09 21:11:28,8.457,1.268,89.218,1.057,0.0,0.0,307200.0,0.0,6540.0,4209.0,0.0,0.0,1172.0,2727.0
18-09 21:11:29,69.293,12.323,17.778,0.404,0.0,0.202,77824.0,0.0,12797.0,45010.0,0.0,0.0,4069.0,7023.0
18-09 21:11:30,91.751,5.433,2.817,0.0,0.0,0.0,0.0,0.0,1389.0,3136.0,0.0,0.0,2326.0,3063.0
18-09 21:11:31,92.585,7.214,0.200,0.0,0.0,0.0,28672.0,258048.0,1985.0,2948.0,0.0,0.0,2363.0,3436.0
18-09 21:11:32,85.223,11.134,3.644,0.0,0.0,0.0,102400.0,0.0,1349.0,2294.0,0.0,0.0,2349.0,3563.0
18-09 21:11:33,88.554,4.819,6.627,0.0,0.0,0.0,28672.0,0.0,3313.0,3197.0,0.0,0.0,2533.0,3754.0
18-09 21:11:34,76.531,5.306,15.102,2.653,0.0,0.408,19718144.0,0.0,22541.0,11692.0,0.0,0.0,2898.0,5016.0
18-09 21:11:35,77.236,8.333,11.382,3.049,0.0,0.0,23633920.0,0.0,2388.0,3503.0,0.0,0.0,2340.0,3430.0
18-09 21:11:36,85.276,10.020,4.294,0.204,0.0,0.204,12288.0,163840.0,4535.0,9410.0,0.0,0.0,2660.0,4343.0
18-09 21:11:37,95.984,4.016,0.0,0.0,0.0,0.0,12611584.0,0.0,11365.0,10860.0,0.0,0.0,2428.0,4309.0
18-09 21:11:38,86.720,7.847,3.219,2.012,0.0,0.201,26136576.0,0.0,4931.0,3920.0,0.0,0.0,2871.0,7581.0
18-09 21:11:39,70.909,8.687,9.091,11.111,0.0,0.202,85245952.0,0.0,2957.0,4185.0,0.0,0.0,3554.0,8093.0
18-09 21:11:40,50.302,5.433,21.529,22.334,0.0,0.402,81149952.0,0.0,1415.0,4915.0,0.0,0.0,2859.0,7079.0
18-09 21:11:41,40.365,4.868,24.746,29.615,0.0,0.406,57634816.0,81920.0,1349.0,4915.0,0.0,0.0,2419.0,6163.0
18-09 21:11:42,49.499,6.814,17.034,26.052,0.0,0.601,95223808.0,4096.0,8293.0,6682.0,0.0,0.0,3115.0,7425.0
18-09 21:11:43,41.010,6.465,24.040,27.879,0.0,0.606,77537280.0,0.0,1349.0,4959.0,0.0,0.0,2718.0,6882.0
18-09 21:11:44,43.548,6.250,25.0,24.798,0.0,0.403,84373504.0,0.0,1349.0,4918.0,0.0,0.0,2765.0,7141.0
18-09 21:11:45,41.010,6.263,26.061,26.465,0.0,0.202,79695872.0,0.0,8060.0,6752.0,0.0,0.0,2864.0,6670.0
18-09 21:11:46,24.236,4.481,32.994,37.882,0.0,0.407,36630528.0,22093824.0,3107.0,5506.0,0.0,0.0,2023.0,5033.0
18-09 21:11:47,34.898,4.286,29.592,30.816,0.0,0.408,67694592.0,126976.0,11791.0,5956.0,0.0,0.0,2683.0,6263.0
18-09 21:11:48,37.728,9.736,22.921,29.412,0.0,0.203,67895296.0,0.0,4562.0,2355.0,0.0,0.0,2720.0,6274.0
18-09 21:11:49,38.353,7.028,19.679,34.739,0.0,0.201,95027200.0,0.0,1349.0,4961.0,0.0,0.0,2716.0,6793.0
18-09 21:11:50,39.437,7.042,16.700,36.620,0.0,0.201,83378176.0,0.0,9351.0,5776.0,0.0,0.0,2839.0,6815.0
18-09 21:11:51,43.522,4.453,29.960,21.660,0.0,0.405,66699264.0,45056.0,3440.0,5790.0,0.0,0.0,2431.0,6062.0
18-09 21:11:52,24.746,3.043,43.002,28.803,0.0,0.406,49582080.0,24182784.0,3335.0,5134.0,0.0,0.0,2119.0,5146.0
18-09 21:11:53,37.349,4.618,24.498,32.530,0.0,1.004,72769536.0,0.0,9631.0,7256.0,0.0,0.0,2588.0,6748.0
18-09 21:11:54,35.743,6.827,39.357,17.871,0.0,0.201,51122176.0,65536.0,6191.0,13207.0,0.0,0.0,3179.0,7161.0
18-09 21:11:55,10.324,2.429,87.045,0.202,0.0,0.0,24576.0,65536.0,5450.0,8563.0,0.0,0.0,2001.0,4355.0
18-09 21:11:56,69.168,6.085,24.746,0.0,0.0,0.0,16384.0,299008.0,17460.0,11174.0,0.0,0.0,3089.0,4694.0
18-09 21:11:57,94.389,5.210,0.401,0.0,0.0,0.0,0.0,0.0,9591.0,13787.0,0.0,0.0,2719.0,4175.0
18-09 21:11:58,94.378,4.217,1.406,0.0,0.0,0.0,0.0,0.0,6851.0,10499.0,0.0,0.0,2270.0,3076.0
18-09 21:11:59,94.355,3.629,2.016,0.0,0.0,0.0,0.0,0.0,26245.0,19381.0,0.0,0.0,2771.0,4202.0
18-09 21:12:00,88.889,5.051,5.859,0.0,0.0,0.202,0.0,0.0,17710.0,19102.0,0.0,0.0,2724.0,5688.0
