"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","group-2-vm3",,,,"User:","ubuntu"
"Cmdline:","dstat -ta --noheaders --noupdate --output /home/ubuntu/dstat.csv",,,,"Date:","18 Sep 2015 22:30:35 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
18-09 22:30:35,1.354,0.382,98.147,0.114,0.000,0.004,125893.889,209496.657,0.0,0.0,0.0,0.0,890.383,1961.800
18-09 22:30:36,1.406,0.201,97.992,0.402,0.0,0.0,0.0,8192.0,211.0,832.0,0.0,0.0,982.0,1989.0
18-09 22:30:37,1.210,0.202,98.589,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,964.0,2006.0
18-09 22:30:38,1.010,0.404,98.586,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,976.0,2034.0
18-09 22:30:39,6.139,7.921,80.0,5.941,0.0,0.0,749568.0,552960.0,5740.0,5089.0,0.0,0.0,1862.0,3377.0
18-09 22:30:40,1.437,0.411,96.715,1.437,0.0,0.0,581632.0,0.0,171.0,373.0,0.0,0.0,1095.0,2214.0
18-09 22:30:41,1.408,0.402,98.189,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,947.0,2121.0
18-09 22:30:42,1.606,0.201,98.193,0.0,0.0,0.0,0.0,0.0,211.0,832.0,0.0,0.0,992.0,2140.0
18-09 22:30:43,2.191,0.598,97.211,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1000.0,2157.0
18-09 22:30:44,1.800,0.400,97.800,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1040.0,2222.0
18-09 22:30:45,1.793,0.797,97.012,0.398,0.0,0.0,0.0,28672.0,211.0,832.0,0.0,0.0,1070.0,2289.0
18-09 22:30:46,3.0,0.600,96.400,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1076.0,2302.0
18-09 22:30:47,1.414,0.202,98.384,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1039.0,2348.0
18-09 22:30:48,1.207,0.604,98.189,0.0,0.0,0.0,0.0,0.0,211.0,832.0,0.0,0.0,1065.0,2344.0
18-09 22:30:49,1.408,0.201,98.390,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1050.0,2287.0
18-09 22:30:50,1.406,0.602,97.992,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1048.0,2323.0
18-09 22:30:51,0.811,0.406,98.377,0.406,0.0,0.0,0.0,20480.0,211.0,832.0,0.0,0.0,1024.0,2367.0
18-09 22:30:52,2.004,0.200,97.796,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1025.0,2338.0
18-09 22:30:53,1.406,0.602,97.992,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1070.0,2396.0
18-09 22:30:54,1.403,0.802,97.796,0.0,0.0,0.0,0.0,0.0,211.0,832.0,0.0,0.0,1054.0,2362.0
18-09 22:30:55,1.811,0.201,97.988,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1099.0,2468.0
18-09 22:30:56,1.207,0.604,98.189,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1056.0,2367.0
18-09 22:30:57,1.002,0.601,97.796,0.601,0.0,0.0,0.0,16384.0,211.0,832.0,0.0,0.0,1027.0,2242.0
18-09 22:30:58,1.202,1.002,97.796,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1064.0,2416.0
18-09 22:30:59,1.408,0.402,98.189,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1065.0,2431.0
18-09 22:31:00,1.804,0.601,97.595,0.0,0.0,0.0,0.0,0.0,211.0,832.0,0.0,0.0,1040.0,2395.0
18-09 22:31:01,1.202,0.802,97.996,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1036.0,2371.0
18-09 22:31:02,2.0,0.400,97.600,0.0,0.0,0.0,4096.0,0.0,105.0,307.0,0.0,0.0,1061.0,2429.0
18-09 22:31:03,1.414,0.202,97.980,0.404,0.0,0.0,0.0,16384.0,211.0,832.0,0.0,0.0,1064.0,2466.0
18-09 22:31:04,1.610,0.402,97.988,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1060.0,2462.0
18-09 22:31:05,2.0,0.400,97.600,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1060.0,2484.0
18-09 22:31:06,1.212,0.404,98.384,0.0,0.0,0.0,0.0,0.0,211.0,832.0,0.0,0.0,1054.0,2466.0
18-09 22:31:07,1.207,0.604,98.189,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1025.0,2410.0
18-09 22:31:08,1.603,0.601,97.796,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1032.0,2415.0
18-09 22:31:09,2.008,0.402,97.390,0.201,0.0,0.0,0.0,57344.0,211.0,832.0,0.0,0.0,1072.0,2460.0
18-09 22:31:10,1.406,0.602,97.992,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1062.0,2454.0
18-09 22:31:11,1.010,0.404,98.586,0.0,0.0,0.0,0.0,0.0,105.0,307.0,0.0,0.0,1057.0,2437.0
18-09 22:31:12,1.603,1.002,97.395,0.0,0.0,0.0,0.0,0.0,211.0,832.0,0.0,0.0,1062.0,2455.0
18-09 22:31:13,12.475,2.012,79.477,6.036,0.0,0.0,1953792.0,0.0,1115327.0,1041009.0,0.0,0.0,2445.0,3743.0
18-09 22:31:14,4.208,0.401,93.186,2.204,0.0,0.0,512000.0,86016.0,15736.0,15750.0,0.0,0.0,1367.0,2654.0
18-09 22:31:15,7.042,0.604,88.732,3.622,0.0,0.0,1335296.0,0.0,3554.0,1532.0,0.0,0.0,1291.0,2792.0
18-09 22:31:16,28.485,4.242,58.788,7.677,0.0,0.808,5763072.0,65536.0,21840250.0,20956802.0,0.0,0.0,8225.0,4641.0
18-09 22:31:17,12.298,1.008,78.629,8.065,0.0,0.0,3108864.0,0.0,1496.0,2298.0,0.0,0.0,1818.0,3169.0
18-09 22:31:18,16.566,3.838,76.162,3.434,0.0,0.0,2048000.0,0.0,6877.0,4015.0,0.0,0.0,2660.0,4875.0
18-09 22:31:19,9.677,3.226,75.202,11.895,0.0,0.0,4911104.0,0.0,214420.0,6254.0,0.0,0.0,2437.0,4275.0
18-09 22:31:20,4.024,1.408,77.666,16.901,0.0,0.0,2023424.0,266240.0,105.0,344.0,0.0,0.0,1332.0,2705.0
18-09 22:31:21,17.103,1.207,70.624,10.865,0.0,0.201,4263936.0,1044480.0,211.0,869.0,0.0,0.0,1798.0,3021.0
18-09 22:31:22,27.510,2.209,64.859,5.422,0.0,0.0,2609152.0,0.0,105.0,344.0,0.0,0.0,1863.0,2859.0
18-09 22:31:23,32.932,2.610,59.839,4.618,0.0,0.0,1826816.0,0.0,330.0,494.0,0.0,0.0,2068.0,2987.0
18-09 22:31:24,22.828,1.818,73.131,2.222,0.0,0.0,4489216.0,0.0,1765.0,3403.0,0.0,0.0,1689.0,2972.0
18-09 22:31:25,17.470,1.807,74.096,6.627,0.0,0.0,3264512.0,0.0,2218.0,1936.0,0.0,0.0,1935.0,3155.0
18-09 22:31:26,29.234,1.411,64.919,4.435,0.0,0.0,2433024.0,1069056.0,105.0,344.0,0.0,0.0,1753.0,2556.0
18-09 22:31:27,34.077,1.826,60.446,3.651,0.0,0.0,2527232.0,1048576.0,1363.0,3028.0,0.0,0.0,2990.0,4021.0
18-09 22:31:28,16.700,0.805,82.294,0.201,0.0,0.0,303104.0,1048576.0,3379.0,6410.0,0.0,0.0,1639.0,2911.0
18-09 22:31:29,13.238,2.037,83.707,0.815,0.0,0.204,368640.0,1048576.0,10884.0,11535.0,0.0,0.0,2551.0,4538.0
